,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
0,1696345,3092,NSE_FO:BANKNIFTY2472452000PE,22-07-2024 09:25,1,15,545.4,22-07-2024 15:09,0,15,418.2,1908.0,23.32,566819.75,331.47,737819.75,-0.18
1,1696344,3092,NSE_FO:BANKNIFTY2472452000CE,22-07-2024 09:25,1,15,575.85,22-07-2024 15:09,0,15,645.6,-1046.25,-12.11,564911.75,330.36,735911.75,-0.44
2,1695803,3092,NSE_FO:BANKNIFTY2472452400PE,19-07-2024 09:25,1,15,483.15,19-07-2024 15:09,0,15,629.0,-2187.75,-30.19,565958.0,330.97,736958.0,-0.3
3,1695802,3092,NSE_FO:BANKNIFTY2472452400CE,19-07-2024 09:25,1,15,638.85,19-07-2024 15:09,0,15,488.7,2252.25,23.5,568145.75,332.25,739145.75,0.0
4,1695258,3092,NSE_FO:BANKNIFTY2472452300PE,18-07-2024 09:25,1,15,562.25,18-07-2024 15:09,0,15,409.65,2289.0,27.14,565893.5,330.93,736893.5,0.0
5,1695256,3092,NSE_FO:BANKNIFTY2472452300CE,18-07-2024 09:25,1,15,625.15,18-07-2024 15:09,0,15,740.0,-1722.75,-18.37,563604.5,329.59,734604.5,-0.23
6,1694712,3092,NSE_FO:BANKNIFTY2471652400PE,16-07-2024 15:07,1,15,2.0,16-07-2024 15:09,0,15,2.1,-1.5,-5.0,565327.25,330.6,736327.25,0.0
7,1694711,3092,NSE_FO:BANKNIFTY2471652400CE,16-07-2024 15:07,1,15,22.15,16-07-2024 15:09,0,15,20.1,30.75,9.26,565328.75,330.6,736328.75,0.0
8,1694708,3092,NSE_FO:BANKNIFTY2471652400PE,16-07-2024 15:00,1,15,16.1,16-07-2024 15:07,0,15,2.0,211.5,87.58,565298.0,330.58,736298.0,0.0
9,1694707,3092,NSE_FO:BANKNIFTY2471652400CE,16-07-2024 15:00,1,15,14.65,16-07-2024 15:07,0,15,22.15,-112.5,-51.19,565086.5,330.46,736086.5,-0.02
10,1694704,3092,NSE_FO:BANKNIFTY2471652400PE,16-07-2024 14:53,1,15,20.35,16-07-2024 15:00,0,15,16.1,63.75,20.88,565199.0,330.53,736199.0,0.0
11,1694703,3092,NSE_FO:BANKNIFTY2471652400CE,16-07-2024 14:53,1,15,18.75,16-07-2024 15:00,0,15,14.65,61.5,21.87,565135.25,330.49,736135.25,0.0
12,1694701,3092,NSE_FO:BANKNIFTY2471652400PE,16-07-2024 14:37,1,15,29.35,16-07-2024 14:53,0,15,20.35,135.0,30.66,565073.75,330.45,736073.75,0.0
13,1694699,3092,NSE_FO:BANKNIFTY2471652400CE,16-07-2024 14:37,1,15,21.0,16-07-2024 14:53,0,15,18.75,33.75,10.71,564938.75,330.37,735938.75,0.0
14,1694696,3092,NSE_FO:BANKNIFTY2471652400PE,16-07-2024 14:07,1,15,28.6,16-07-2024 14:37,0,15,29.35,-11.25,-2.62,564905.0,330.35,735905.0,0.0
15,1694694,3092,NSE_FO:BANKNIFTY2471652400CE,16-07-2024 14:07,1,15,39.95,16-07-2024 14:37,0,15,21.0,284.25,47.43,564916.25,330.36,735916.25,0.0
16,1694690,3092,NSE_FO:BANKNIFTY2471652400PE,16-07-2024 13:42,1,15,46.0,16-07-2024 14:07,0,15,28.6,261.0,37.83,564632.0,330.19,735632.0,0.0
17,1694688,3092,NSE_FO:BANKNIFTY2471652400CE,16-07-2024 13:42,1,15,40.7,16-07-2024 14:07,0,15,39.95,11.25,1.84,564371.0,330.04,735371.0,0.0
18,1694595,3092,NSE_FO:BANKNIFTY2471652400PE,16-07-2024 13:28,1,15,52.6,16-07-2024 13:42,0,15,46.0,99.0,12.55,564359.75,330.03,735359.75,0.0
19,1694594,3092,NSE_FO:BANKNIFTY2471652400CE,16-07-2024 13:28,1,15,59.0,16-07-2024 13:42,0,15,40.7,274.5,31.02,564260.75,329.98,735260.75,0.0
20,1694583,3092,NSE_FO:BANKNIFTY2471652400PE,16-07-2024 12:12,1,15,57.35,16-07-2024 13:28,0,15,52.6,71.25,8.28,563986.25,329.82,734986.25,0.0
21,1694581,3092,NSE_FO:BANKNIFTY2471652400CE,16-07-2024 12:12,1,15,82.15,16-07-2024 13:28,0,15,59.0,347.25,28.18,563915.0,329.77,734915.0,0.0
22,1694575,3092,NSE_FO:BANKNIFTY2471652500PE,16-07-2024 10:43,1,15,95.0,16-07-2024 12:12,0,15,113.45,-276.75,-19.42,563567.75,329.57,734567.75,-0.04
23,1694572,3092,NSE_FO:BANKNIFTY2471652500CE,16-07-2024 10:43,1,15,95.55,16-07-2024 12:12,0,15,38.15,861.0,60.07,563844.5,329.73,734844.5,0.0
24,1694496,3092,NSE_FO:BANKNIFTY2471652500PE,16-07-2024 10:20,1,15,131.3,16-07-2024 10:43,0,15,95.0,544.5,27.65,562983.5,329.23,733983.5,0.0
25,1694493,3092,NSE_FO:BANKNIFTY2471652500CE,16-07-2024 10:20,1,15,110.25,16-07-2024 10:43,0,15,95.55,220.5,13.33,562439.0,328.91,733439.0,-0.01
26,1694487,3092,NSE_FO:BANKNIFTY2471652600PE,16-07-2024 09:25,1,15,178.85,16-07-2024 10:20,0,15,197.3,-276.75,-10.32,562218.5,328.78,733218.5,-0.04
27,1694485,3092,NSE_FO:BANKNIFTY2471652600CE,16-07-2024 09:25,1,15,171.0,16-07-2024 10:20,0,15,75.45,1433.25,55.88,562495.25,328.94,733495.25,0.0
28,1694057,3092,NSE_FO:BANKNIFTY2471652300PE,15-07-2024 09:25,1,15,249.55,15-07-2024 15:09,0,15,105.25,2164.5,57.82,561062.0,328.11,732062.0,0.0
29,1694007,3092,NSE_FO:BANKNIFTY2471652300CE,15-07-2024 09:25,1,15,254.5,15-07-2024 15:09,0,15,367.0,-1687.5,-44.2,558897.5,326.84,729897.5,-0.23
30,1693526,3092,NSE_FO:BANKNIFTY2471652300PE,12-07-2024 09:25,1,15,271.6,12-07-2024 15:09,0,15,252.25,290.25,7.12,560585.0,327.83,731585.0,0.0
31,1693525,3092,NSE_FO:BANKNIFTY2471652300CE,12-07-2024 09:25,1,15,336.4,12-07-2024 15:09,0,15,305.0,471.0,9.33,560294.75,327.66,731294.75,0.0
32,1692960,3092,NSE_FO:BANKNIFTY2471652200PE,11-07-2024 09:25,1,15,358.35,11-07-2024 15:09,0,15,232.6,1886.25,35.09,559823.75,327.38,730823.75,0.0
33,1692959,3092,NSE_FO:BANKNIFTY2471652200CE,11-07-2024 09:25,1,15,370.5,11-07-2024 15:09,0,15,426.8,-844.5,-15.2,557937.5,326.28,728937.5,-0.2
34,1692456,3092,NSE_FO:BANKNIFTY2471052200PE,10-07-2024 15:07,1,15,18.65,10-07-2024 15:09,0,15,18.75,-1.5,-0.54,558782.0,326.77,729782.0,-0.09
35,1692455,3092,NSE_FO:BANKNIFTY2471052200CE,10-07-2024 15:07,1,15,9.95,10-07-2024 15:09,0,15,6.2,56.25,37.69,558783.5,326.77,729783.5,-0.09
36,1692448,3092,NSE_FO:BANKNIFTY2471052200PE,10-07-2024 15:05,1,15,28.25,10-07-2024 15:07,0,15,18.65,144.0,33.98,558727.25,326.74,729727.25,-0.09
37,1692446,3092,NSE_FO:BANKNIFTY2471052200CE,10-07-2024 15:05,1,15,8.05,10-07-2024 15:07,0,15,9.95,-28.5,-23.6,558583.25,326.66,729583.25,-0.11
38,1692438,3092,NSE_FO:BANKNIFTY2471052200PE,10-07-2024 15:03,1,15,33.45,10-07-2024 15:05,0,15,28.25,78.0,15.55,558611.75,326.67,729611.75,-0.11
39,1692437,3092,NSE_FO:BANKNIFTY2471052200CE,10-07-2024 15:03,1,15,13.3,10-07-2024 15:05,0,15,8.05,78.75,39.47,558533.75,326.63,729533.75,-0.12
40,1692428,3092,NSE_FO:BANKNIFTY2471052200PE,10-07-2024 14:43,1,15,42.35,10-07-2024 15:03,0,15,33.45,133.5,21.02,558455.0,326.58,729455.0,-0.13
41,1692427,3092,NSE_FO:BANKNIFTY2471052200CE,10-07-2024 14:43,1,15,30.2,10-07-2024 15:03,0,15,13.3,253.5,55.96,558321.5,326.5,729321.5,-0.15
42,1692422,3092,NSE_FO:BANKNIFTY2471052200PE,10-07-2024 14:38,1,15,49.0,10-07-2024 14:43,0,15,42.35,99.75,13.57,558068.0,326.36,729068.0,-0.18
43,1692421,3092,NSE_FO:BANKNIFTY2471052200CE,10-07-2024 14:38,1,15,43.2,10-07-2024 14:43,0,15,30.2,195.0,30.09,557968.25,326.3,728968.25,-0.2
44,1692414,3092,NSE_FO:BANKNIFTY2471052100PE,10-07-2024 14:20,1,15,21.75,10-07-2024 14:38,0,15,12.65,136.5,41.84,557773.25,326.18,728773.25,-0.22
45,1692413,3092,NSE_FO:BANKNIFTY2471052100CE,10-07-2024 14:20,1,15,55.8,10-07-2024 14:38,0,15,108.0,-783.0,-93.55,557636.75,326.1,728636.75,-0.24
46,1692392,3092,NSE_FO:BANKNIFTY2471052300PE,10-07-2024 10:01,1,15,110.1,10-07-2024 14:20,0,15,176.1,-990.0,-59.95,558419.75,326.56,729419.75,-0.14
47,1692390,3092,NSE_FO:BANKNIFTY2471052300CE,10-07-2024 10:01,1,15,129.6,10-07-2024 14:20,0,15,10.8,1782.0,91.67,559409.75,327.14,730409.75,0.0
48,1692380,3092,NSE_FO:BANKNIFTY2471052300PE,10-07-2024 09:36,1,15,163.35,10-07-2024 10:01,0,15,110.1,798.75,32.6,557627.75,326.1,728627.75,0.0
49,1692377,3092,NSE_FO:BANKNIFTY2471052300CE,10-07-2024 09:36,1,15,138.4,10-07-2024 10:01,0,15,129.6,132.0,6.36,556829.0,325.63,727829.0,0.0
50,1692372,3092,NSE_FO:BANKNIFTY2471052300PE,10-07-2024 09:25,1,15,221.8,10-07-2024 09:36,0,15,163.35,876.75,26.35,556697.0,325.55,727697.0,0.0
